code,kind,full_path,applications,mandatory_attributes,transaction_model,grade_gated,licence_gated,note
S12.3,subsegment,Raw Materials - Bulk & Commodity Chemicals > Solvents > Glycol Ethers & High Boilers,B03;B13,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"2-ethylhexanol, DPM, TPM, glycol ether families. Lower volatility, some combustible rather than flammable."
S12.4,subsegment,Raw Materials - Bulk & Commodity Chemicals > Solvents > Halogenated Solvents,B13;B14,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;regulatory_restrictions,marketplace,False,False,"Methylene chloride, chloroform, TCE. Several are restricted/authorisation-gated - catalogue must carry a restricted flag and buyer acknowledgement."
S12.5,subsegment,Raw Materials - Bulk & Commodity Chemicals > Solvents > Green & Bio-based Solvents,B02;B03;B10;B11,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"d-limonene, ethyl lactate, methyl soyate, glycerol formal, dibasic esters. Fastest-growing solvent sub-segment on ESG demand."
S13,segment,"Raw Materials - Bulk & Commodity Chemicals > Polymers, Resins & Elastomers",B04;B06;B14;B15,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation;melt_flow_index;additive_package,marketplace,False,False,
S13.1,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Polymers, Resins & Elastomers > Commodity Thermoplastics",B04;B06,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation;melt_flow_index;additive_package,marketplace,False,False,"HDPE/LDPE/LLDPE, PP homo & copolymer, PS, EPS, ABS, PET. Sold by grade + MFI."
S13.2,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Polymers, Resins & Elastomers > Engineering Plastics",B04;B13;B14,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation;melt_flow_index;additive_package,marketplace,False,False,"PA6/PA66, PC, POM, PBT, PMMA, PPS, PEEK, PVDF, PTFE. Higher margin, spec-critical."
S13.3,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Polymers, Resins & Elastomers > PVC & Plasticisers",B04;B15,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation;melt_flow_index;additive_package,marketplace,False,False,"Suspension PVC, CPVC, DOP/DOTP/DINP/ATBC. Some plasticisers phasing out - track restriction lists."
S13.4,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Polymers, Resins & Elastomers > Thermoset Resins",B03;B04;B15,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation;melt_flow_index;additive_package;pot_life_minutes,marketplace,False,False,"Epoxy resin + hardeners, unsaturated polyester, phenolic, PU systems (MDI/TDI/polyol). Isocyanates are hazardous - SC-6 handling."
S13.5,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Polymers, Resins & Elastomers > Elastomers & Rubber",B04;B14,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"Natural rubber, SBR, NBR, EPDM, silicone gum, reclaimed rubber."
S13.6,subsegment,"Raw Materials - Bulk & Commodity Chemicals > Polymers, Resins & Elastomers > Recycled & Bio-based Polymers",B04;B06,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation;melt_flow_index;additive_package;recycled_content_pct,marketplace,False,False,"rPET, rPP, regrind, PLA, PHA, bio-PE. Growing on ESG mandates; requires traceability of recycled content."
S14,segment,"Raw Materials - Bulk & Commodity Chemicals > Bulk Additives, Fillers & Pigments",B03;B04;B06;B15,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"GCC/PCC, talc, kaolin, fumed & precipitated silica, barium sulphate, mica, wollastonite, carbon black, TiO2, iron oxides, organic & inorganic pigments, masterbatches."
S2,pillar,Raw Materials - Specialty & Formulated Chemicals,,,marketplace,False,False,"Lower volume, higher margin, function-driven, harder to substitute. Qualification, not just price."
S20,segment,Raw Materials - Specialty & Formulated Chemicals > Surfactants & Detergent Bases,B02;B11,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"LABSA 90%, SLES 70% (2EO/3EO), SLS, AES, CAPB, AEO, APG, alcohol ethoxylates, sulfosuccinates, amine oxides, quats (BTC/DDAC), gemini & silicone surfactants."
S21,segment,Raw Materials - Specialty & Formulated Chemicals > Specialty Additives & Performance Chemicals,B03;B04;B13,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,
S21.1,subsegment,Raw Materials - Specialty & Formulated Chemicals > Specialty Additives & Performance Chemicals > Polymer Additives,B04,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"Antioxidants, UV stabilisers, HALS, heat stabilisers, flame retardants (APP/ATH/brominated/phosphorus), nucleating agents, slip & antiblock."
S21.2,subsegment,Raw Materials - Specialty & Formulated Chemicals > Specialty Additives & Performance Chemicals > Processing Aids,B03;B04;B11,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"Compatibilisers, coupling agents, defoamers, dispersants, rheology modifiers, biocides, preservatives (MIT/CMIT, phenoxyethanol), antistats."
S21.3,subsegment,Raw Materials - Specialty & Formulated Chemicals > Specialty Additives & Performance Chemicals > Functional Fillers & Nanomaterials,B04;B13,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;particle_size_nm,marketplace,False,False,"Nanosilica, nanoclay, CNT, graphene. Low volume, high value, sample-heavy, nano-specific safety data required."
S22,segment,"Raw Materials - Specialty & Formulated Chemicals > Coatings, Ink & Adhesive Raw Materials",B03,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"Alkyds, acrylics, PU dispersions, nitrocellulose, rosins, TiO2, extenders, coalescents, thickeners (HEC/ASE/HEUR), pigments & dyes, photoinitiators, UV monomers & oligomers."
S23,segment,Raw Materials - Specialty & Formulated Chemicals > Water Treatment & Process Chemicals,B01;B16,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"RECOMMENDED FIRST CATEGORY. Coagulants (alum/PAC/ferric), flocculants (anionic/cationic/nonionic PAM), antiscalants, corrosion inhibitors, oxygen scavengers, biocides, pH adjusters, IX resins, activated carbon, membrane cleaners, chelants, boiler & cooling tower treatment."
S24,segment,Raw Materials - Specialty & Formulated Chemicals > Industrial & Institutional Cleaning,B01;B10;B18,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"Alkaline cleaners, acid descalers, solvent degreasers, CIP detergents & sanitisers, foam control, laundry, handwash & sanitisers, floor care, enzymatic cleaners."
S25,segment,"Raw Materials - Specialty & Formulated Chemicals > Textile, Leather, Paper & Pulp Chemicals",B05;B06,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"Sizing agents, wet-strength resins, retention aids, optical brighteners, dye-fixing agents, tanning agents (incl. chrome-free), fatliquors, defoamers, bleaching stabilisers, softener bases."
S26,segment,"Raw Materials - Specialty & Formulated Chemicals > Food, Feed & Personal Care Ingredients",B10;B11;B17,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;allergen_declaration;grade_certificate,marketplace,True,False,"GRADE-GATED. Acidulants, preservatives, sweeteners, hydrocolloids, emulsifiers, vitamins, amino acids, flavours, colours, cosmetic actives, emollients, waxes, silicones. Requires food/pharma/cosmetic grade cert + allergen declaration + batch traceability."
S27,segment,"Raw Materials - Specialty & Formulated Chemicals > Oils, Lubricants & Metalworking Fluids",B14;B16;B18,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;viscosity_grade,marketplace,False,False,"Base oils (Group I-III, PAO, esters), greases, hydraulic & gear oils, compressor & transformer oils, metalworking fluids (soluble/semi-synthetic/neat), quenching oils, rust preventives, heat transfer fluids."
S28,segment,Raw Materials - Specialty & Formulated Chemicals > Adhesives & Sealants (Finished),B04;B14;B15;B18,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;cure_time_minutes,marketplace,False,False,"Epoxies, PU, silicones, cyanoacrylates, hot-melts & EVA, PVAc, MS polymers, anaerobics, tapes."
S29,segment,Raw Materials - Specialty & Formulated Chemicals > Construction & Infrastructure Chemicals,B15,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation,marketplace,False,False,"Concrete admixtures (PCE, lignosulphonate, naphthalene), waterproofing, grouts, repair mortars, tile adhesives, curing compounds, protective coatings, geochemicals."
S30,segment,Raw Materials - Specialty & Formulated Chemicals > Agrochemicals & Plant Nutrition,B17,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;licence_required;registration_number,marketplace,False,True,"LICENCE-GATED. NPK & water-soluble fertilisers, micronutrients, insecticides/fungicides/herbicides, PGRs, biostimulants, soil conditioners. Verify seller AND buyer licences before enabling transactions."
S31,segment,Raw Materials - Specialty & Formulated Chemicals > Laboratory & Reagent Chemicals,B09;B12;B13,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;cert_of_analysis_batch,marketplace,False,False,"AR/LR grades, analytical standards, reference materials, indicators, buffer salts, chromatography media, HPLC/GC-grade solvents, titration reagents."
S32,segment,Raw Materials - Specialty & Formulated Chemicals > Pharma & Fine Chemicals,B12,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;gmp_documentation;dmf_cep_reference;licence_required,marketplace,True,True,"HIGHEST COMPLIANCE BURDEN. APIs, pharma intermediates, excipients (MCC, lactose, starch, Mg stearate), bio-buffers. GMP docs, CEP/DMF, country licences. Enter only with a regulatory partner."
S33,segment,"Raw Materials - Specialty & Formulated Chemicals > Catalysts, Enzymes & Biotech Inputs",B09;B10;B16,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;activity_units,marketplace,False,False,"Precious-metal & base-metal catalysts, zeolites, supported catalysts, industrial enzymes (amylase/protease/lipase/cellulase), fermentation media & nutrients, starter cultures."
S3,pillar,Machines & Process Equipment,,,brokerage_escrow,False,False,"Capex. Long cycle, high value. Sell as brokerage + escrow + third-party inspection, not marketplace inventory."
S34,segment,"Machines & Process Equipment > Reaction, Mixing & Blending Equipment",B02;B03;B09;B11;B12,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered,brokerage_escrow,False,False,"SS316 / glass-lined / jacketed reactors, agitated vessels, high-shear mixers, planetary mixers, homogenisers, ribbon & conical blenders, dissolvers, bead/ball/hammer mills, crystallisers, evaporators, spray dryers."
S35,segment,"Machines & Process Equipment > Separation, Filtration & Drying Equipment",B01;B09;B10;B12,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered,brokerage_escrow,False,False,"Distillation columns & internals, wiped-film evaporators, filter press / Nutsche / candle filters, decanter & basket & disc-stack centrifuges, hydrocyclones, extraction units, tray/FBD/vacuum/flash dryers, UF/NF/RO skids, dust collectors."
S36,segment,Machines & Process Equipment > Heat Transfer & Thermal Equipment,B09;B10;B16,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered,brokerage_escrow,False,False,"Shell & tube / plate heat exchangers, cooling towers, chillers, thermic fluid heaters, industrial ovens & furnaces, steam boilers, heat recovery, jacketed piping & tracing."
S37,segment,"Machines & Process Equipment > Fluid Handling, Transfer & Storage",B01;B02;B07;B09;B18,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered;wetted_materials;atex_rating,brokerage_escrow,False,False,"Centrifugal, gear, AODD diaphragm, lobe, peristaltic, screw, magnetic-drive sealless pumps (correct for corrosive/flammable duty); ball/gate/butterfly/diaphragm/pinch/safety-relief valves; hose & couplings; IBCs, drums, silos, agitators, level & containment."
S38,segment,"Machines & Process Equipment > Instrumentation, Control & Automation",B01;B09;B13;B16;B18,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered;atex_rating;calibration_certificate,brokerage_escrow,False,False,"Flow (magnetic/coriolis/ultrasonic), level (radar/ultrasonic/float), pressure & temperature transmitters, analytical (pH/ORP/conductivity/turbidity/DO), control valves & actuators, PLC/DCS, HMI/SCADA, VFDs, load cells, gas detection & safety interlocks."
S39,segment,"Machines & Process Equipment > Filling, Packaging & Labelling Lines",B02;B10;B11;B18,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered,brokerage_escrow,False,False,"Drum & IBC filling stations, bottling & capping, sachet FFS, carton sealers, shrink-wrap, palletisers, labellers, metal detectors, checkweighers, coders & printers."
S40,segment,Machines & Process Equipment > Material Handling Equipment,B18,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered,brokerage_escrow,False,False,"Forklifts (electric/diesel), stackers, pallet trucks, conveyors, hoists & EOT cranes, industrial vacuum, AGVs."
S41,segment,"Machines & Process Equipment > Utilities, Energy & Effluent Treatment",B01;B16;B18,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered,brokerage_escrow,False,False,"Air compressors & dryers, N2/O2 generators, RO & DM plants, ETP/STP equipment (clarifiers, DAF, MBBR media), sludge dewatering, incinerators, solar thermal, UPS & generators."
S42,segment,Machines & Process Equipment > Laboratory & QC Equipment,B09;B10;B12;B18,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered;calibration_certificate,brokerage_escrow,False,False,"Fume hoods, hotplates & stirrers, ovens & muffle furnaces, viscometers, spectrophotometers, HPLC/GC, titrators, particle size analysers, moisture analysers, balances, colour measurement."
S43,segment,Machines & Process Equipment > Line-Specific Process Machinery,B02;B03;B04;B10;B11,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered,brokerage_escrow,False,False,"The vertical bundles - detergent & liquid washing lines, paint dispersion lines, food processing lines, cosmetic cream/lotion lines, plastic compounding & extrusion, water bottling, blending & packaging skids. This is where 'we sell the line' becomes literal."
S44,segment,"Machines & Process Equipment > Used, Refurbished & Rental Equipment",B18,capacity_or_rating;material_of_construction;certifications;condition;lead_time_weeks;power_supply;warranty_months;documentation;installation_offered;inspection_report;year_of_manufacture,brokerage_escrow,False,False,"Second-hand reactors & centrifuges, refurbished instruments, rental dosing skids & temporary utilities. High margin, underserved, natural fit for escrow + inspection."
S4,pillar,"Consumables, MRO & Packaging",,,marketplace,False,False,"Low unit value, highest order frequency, creates daily engagement. Availability beats price here."
S45,segment,"Consumables, MRO & Packaging > Packaging Materials",B02;B03;B10;B11;B18,size_spec;material_of_construction;pack_qty;uom;hs_code;certifications;documentation;un_rating_for_dg,marketplace,False,False,"HDPE & steel drums (200/210/220 L), IBCs, jerry cans 5-30 L, PP/PE bags & FIBCs, liners, drum bungs/caps/rings/seals, pails & tubs, bottles & closures, sachet film, shrink & stretch film, corrugated, wooden & plastic pallets, strapping & tapes. UN-rated packaging is mandatory for DG fills."
S46,segment,"Consumables, MRO & Packaging > PPE & Safety Equipment",B18,size_spec;material_of_construction;pack_qty;uom;hs_code;certifications;documentation;protection_standard,marketplace,False,False,"Nitrile/latex/neoprene/butyl & chemical gauntlets, coveralls (Type 3/4/5/6), respirators (half/full mask, PAPR, cartridges), safety shoes & boots, face shields, goggles, chemical aprons, spill kits, eyewash & safety showers, first aid, LOTO, portable gas detectors."
S47,segment,"Consumables, MRO & Packaging > Filtration & Separation Consumables",B01;B03;B09;B10,size_spec;material_of_construction;pack_qty;uom;hs_code;certifications;documentation;micron_rating,marketplace,False,False,"Filter bags (PP/PE/PTFE, 1-800 um), cartridge filters, filter cloths & plates, RO/UF membranes & spares, activated carbon, filter aid (diatomite, perlite), sieve & screen meshes."
S48,segment,"Consumables, MRO & Packaging > Gaskets, Seals & Hose",B09;B18,size_spec;material_of_construction;pack_qty;uom;hs_code;certifications;documentation;chemical_compatibility,marketplace,False,False,"Spiral-wound & ring-joint gaskets, EPDM/NBR/Viton/PTFE seals, O-ring kits, hose assemblies, quick couplings. Chemical compatibility chart is the killer merchandising feature."
S49,segment,"Consumables, MRO & Packaging > Electrical & Instrumentation Consumables",B18,size_spec;material_of_construction;pack_qty;uom;hs_code;certifications;documentation;atex_rating,marketplace,False,False,"Contactors, relays, MCB/MCCB, cables & glands, cable trays, sensors & transmitters, calibrators, indicator lamps."
S50,segment,"Consumables, MRO & Packaging > Maintenance & Workshop Supplies",B18,size_spec;material_of_construction;pack_qty;uom;hs_code;certifications;documentation,marketplace,False,False,"Industrial adhesives, threadlockers, lubricants & greases, aerosols, cutting & grinding discs, drill bits & taps, abrasives, welding electrodes & wire, paints, cleaners & degreasers, janitorial."
S51,segment,"Consumables, MRO & Packaging > QC & Laboratory Consumables",B09;B10;B12,size_spec;material_of_construction;pack_qty;uom;hs_code;certifications;documentation,marketplace,False,False,"Glassware, volumetric flasks & pipettes, syringe filters & membranes, reagents, standards, sample containers, lab gloves, wipes, chromatography consumables."
S52,segment,"Consumables, MRO & Packaging > Packing & Despatch Consumables",B18,size_spec;material_of_construction;pack_qty;uom;hs_code;certifications;documentation,marketplace,False,False,"Labels & thermal ribbons, coding ink, void fill, bubble wrap, edge protectors, desiccants, VCI anti-corrosion packaging."
S5,pillar,Services,,,managed_service,False,False,The services layer is what stops disintermediation. High margin and binds the transaction to the platform.
S55,segment,Services > Sourcing & Brokerage,B18,scope_of_work;sla_hours;service_area;licences;documentation,managed_service,False,False,"RFQ management, supplier qualification, factory audits, cost benchmarking, reverse auctions."
S56,segment,Services > Logistics & Dangerous Goods Transport,B18,scope_of_work;sla_hours;service_area;licences;documentation;dg_transport_licence,managed_service,False,True,"DG-certified trucking, tank cleaning, hazmat warehousing, ISO tank leasing, freight forwarding, customs brokerage, cargo insurance."
S57,segment,"Services > Testing, Inspection & QC",B18,scope_of_work;sla_hours;service_area;licences;documentation;accreditation_scope,managed_service,False,False,"Third-party lab analysis (SGS / Intertek / Bureau Veritas class), pre-shipment inspection, batch retention sampling, CoA verification."
S58,segment,Services > Regulatory & Compliance,B18,scope_of_work;sla_hours;service_area;licences;documentation,managed_service,False,False,"SDS authoring & translation, REACH only-representative, TSCA statements, product registration, GHS labelling & classification, HS classification."
S59,segment,"Services > Engineering, Installation & After-Sales",B18,scope_of_work;sla_hours;service_area;licences;documentation,managed_service,False,False,"Commissioning, AMC/CMC contracts, spares management, operator training, equipment validation."
S60,segment,Services > Trade Finance & Insurance,B18,scope_of_work;sla_hours;service_area;licences;documentation;regulated_entity_partner,managed_service,False,True,"Supplier credit, invoice discounting, escrow & milestone payment, LC management, product liability cover. Always through a licensed partner."
S61,segment,"Services > Waste, Recovery & Circularity",B01;B18,scope_of_work;sla_hours;service_area;licences;documentation;waste_handling_licence,managed_service,False,True,"Spent-solvent recovery, effluent treatment services, packaging take-back, chemical destruction & disposal."
S6,pillar,"Overstock, Off-Spec & Secondary Materials",,,marketplace,False,False,"Underserved supply-side wedge. Every item must carry a deviation disclosure and cannot be recommended for grade-gated end uses (S26, S30, S32)."
S65,segment,"Overstock, Off-Spec & Secondary Materials > Surplus & Slow-Moving Stock",B18,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;shelf_life_remaining_pct;deviation_disclosure,marketplace,False,False,"Original packaging, documented provenance, near-expiry or slow-moving."
S66,segment,"Overstock, Off-Spec & Secondary Materials > Off-Spec & Downgraded Material",B18,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;shelf_life_remaining_pct;deviation_disclosure,marketplace,False,False,Sold with full CoA deviation disclosure. Platform must block recommendation into grade-gated end uses.
S67,segment,"Overstock, Off-Spec & Secondary Materials > Recovered & Reclaimed Solvents & Oils",B03;B14;B18,cas_number;grade;purity_min_pct;physical_form;un_number;dg_class;ghs_pictograms;flash_point_c;storage_class;packaging_options;moq;uom;hs_code;country_of_origin;documentation;packing_group;h_statements;p_statements;recovery_source,marketplace,False,False,"Re-distilled solvents, re-refined lubricants. Requires distillation report and residual-contaminant profile."
S68,segment,"Overstock, Off-Spec & Secondary Materials > Recycled Resins, Regrind & Reclaimed Rubber",B04;B06,material_grade;physical_form;packaging_options;moq;uom;hs_code;country_of_origin;documentation;recycled_content_pct;contamination_profile,marketplace,False,False,"Regrind, pelletised recyclate, reclaimed rubber. MFI and contamination profile mandatory."
